cod_producto;descripcion_raiz;desc_ext;concentracion;id_forma;id_labo;habilitaciones
200240016;0-ES-3;;;1;1;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
191770013;0-TROMB;;75MG;2;2;R.DOMINICANA
214560052;2-BETA HERBAL;;;3;3;R.DOMINICANA
19450082;3 A OFTENO;;;4;4;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
232090065;3-DERMAX;;;5;5;PANAMA
117570034;3-GEL;;;6;6;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
76740034;3TC;;10MG;6;7;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
76740016;3TC;;150MG;1;7;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
215750016;3ZCURE;;500MG;1;8;R.DOMINICANA
239290019;5-ASA;;1GR;7;9;HONDURAS
239290119;5-ASA;;2GR;7;9;HONDURAS
78890065;5A;;;5;10;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
159900032;6-COPIN;;25MG;8;11;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
81610065;A-ARRUGAS LIFT.BA;;;5;12;R.DOMINICANA
124780065;A-DERMA DERMALIBO;;;5;13;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
153620065;A-DERMA EXOMEGA;;;5;13;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
153620165;A-DERMA EXOMEGA;LECHE;;5;13;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
153620265;A-DERMA EXOMEGA;BA¥O TRATA;;5;13;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
153620365;A-DERMA EXOMEGA;EPITHE.ULT;;5;13;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
163780012;A-FENAC;;50MG;9;14;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
126540065;A-OXITIVE;ACQUA-CR;;5;15;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
126540165;A-OXITIVE;SERUM DEF;;5;15;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
205650065;A-WRINKLE COLAGEN;FACIAL;;5;16;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
74350065;A.C.V 200;;0.05;5;17;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
210460013;A.FOL+HIERR.A.SEL;;150MG/0.25MG;2;18;GUATEMALA-COSTA_RICA-EL SALVADOR-NICARAGUA-HONDURAS
210460034;A.FOL+HIERR.A.SEL;;;6;18;GUATEMALA-COSTA_RICA-EL SALVADOR-NICARAGUA-HONDURAS
123450016;A.M.D;;250MG;1;19;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
76060052;A.M.K;;500MG;3;20;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
76060152;A.M.K;;100MG;3;20;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
12050032;A.S. COR;;1GR;8;21;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
40030032;AB-COLIC;;;8;22;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
96610031;AB-COLIC D;;;10;22;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
196330039;AB-DIGEST;STICK-BEB;;11;22;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
208420011;AB-INMUNO;;;12;22;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
193670011;AB-LIFE;1.2M UFC;;12;22;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
226940011;AB-MIND;;;12;23;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
225370019;AB-SAKEI;SOBRES;;7;23;EL SALVADOR-HONDURAS
177610016;ABACAV.+LAMIV.SV7;;;1;24;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
177600039;ABACAVIR SV7;;20MG/ML;11;24;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
177600016;ABACAVIR SV7;;300MG;1;24;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
188090033;ABARCAL;;160/1MG;13;25;R.DOMINICANA
188090032;ABARCAL;;100MG/0.5MG;8;25;R.DOMINICANA
119790016;ABAXON AP;;1MG;1;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
119790116;ABAXON AP;;0.5MG;1;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
233530030;ABBY;;;14;27;COSTA_RICA
94890019;ABC MULTIVI.;SOBRES;;7;28;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
167870012;ABDOGRAS;;;9;29;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
31450032;ABDOL;;15MG;8;30;GUATEMALA-EL SALVADOR-NICARAGUA
31450052;ABDOL;;75MG;3;30;GUATEMALA-EL SALVADOR-NICARAGUA
31450016;ABDOL;;50MG;1;30;GUATEMALA-EL SALVADOR-NICARAGUA
186930053;ABEFEN;;1GR;15;20;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
240250033;ABELIT;;35MG/5ML;13;31;R.DOMINICANA
24520033;ABENTEL;;200MG/5ML;13;32;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
82990039;ABIADIN;;;11;33;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
28490019;ABINTRA;;;7;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
74360016;ABIOLEX;;;1;34;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
74360316;ABIOLEX;;1GR;1;34;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
204790012;ABIRATRAL;;250MG;9;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
83000033;ABISTAN;;;13;35;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
209420019;ABLAZOR;SOBRES;;7;36;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
174260033;ABRAVIA;;5MG;13;37;R.DOMINICANA
174260016;ABRAVIA;;10MG;1;37;R.DOMINICANA
232300053;ABRAXANE;;100MG;15;38;HONDURAS
97050033;ABRELIX;;;13;39;R.DOMINICANA
150510011;ABRETIA;;18MG;12;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
150510111;ABRETIA;;25MG;12;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
150510211;ABRETIA;;40MG;12;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
150510311;ABRETIA;;60MG;12;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
101770033;ABREXIL;;35MG/5ML;13;18;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
19330033;ABRILAR;;35MG/5ML;13;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
19330017;ABRILAR;;65MG;16;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
19330133;ABRILAR;EA575 MENT;35MG/5ML;13;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
